Eray,time,Var3_1,Var3_2,Var3_3,Var3_4,Var3_5,Var3_6,Var3_7,Var3_8,Var3_9,Var3_10,Var3_11,Var3_12,Var3_13,Var3_14,Var3_15,Var3_16,Var3_17,Var3_18,Var3_19,Var3_20,Var3_21,Var3_22,Var3_23,Var3_24,Var3_25,Var3_26,Var3_27,Var3_28,Var3_29,Var3_30,Var3_31,Var3_32,Var3_33,Var3_34,Var3_35,Var3_36,Var3_37,Var3_38,Var3_39,Var3_40,Var3_41,Var3_42,Var3_43,Var3_44,Var3_45,Var3_46,Var3_47,Var3_48,Var3_49,Var3_50,Var3_51
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.0150000000000013,0.00375000000000101,0.00303536255441107,0.00243075213322444,0.00192521583486263,0.00150764111024572,0.00116702658733447,0.000892739813355626,0.000674744328139866,0.000503782309811891,0.00037150435884339,0.000270543823192192,0.000194538451778985,0.000138106369170788,9.67860137525946e-05,6.69507451191575e-05,4.5708537449689e-05,3.07959125644616e-05,2.04734412840523e-05,1.34281207868816e-05,8.68599670464111e-06,5.53672000684368e-06,3.47039855427143e-06,2.12613954899671e-06,1.25105224805396e-06,6.68133422168344e-07,4.2995764198709e-07,3.08060282106914e-07,2.19465251364204e-07,1.55456836068339e-07,1.09486936661181e-07,7.66686934178476e-08,5.33792378330552e-08,3.69505493033314e-08,2.54307819698832e-08,1.74014420434106e-08,1.18384330982644e-08,8.00725519654388e-09,5.38456537402288e-09,3.59991211904373e-09,2.39277948226695e-09,1.58115334068297e-09,1.03868846160843e-09,6.78243663198997e-10,4.40093860511308e-10,2.83548968932744e-10,1.8103373109238e-10,1.13929200155474e-10,6.96621682530485e-11,3.96665497991628e-11,1.79411917345837e-11,0
0.25,0.0299999999999909,0.0149999999999931,0.0135502945102648,0.0122068387165196,0.0109655411892381,0.00982212022451408,0.00877212870681207,0.00781098174819497,0.00693398660634108,0.00613637428739043,0.00541333216320731,0.00476003688135307,0.00417168682378025,0.00364353337894019,0.0031709103314701,0.00274926074160192,0.0023741607787124,0.00204134008431739,0.00174669836265698,0.00148631802483222,0.00125647283849587,0.00105363265338009,0.000874464378602245,0.0007158294772143,0.000574778314746669,0.000448541750774908,0.000383409315147991,0.000342180086913241,0.000304951691511355,0.000271380452960023,0.000241146225291719,0.000213951263554896,0.000189519079323224,0.000167593287762314,0.000147936452567972,0.000130328934344347,0.000114567747243708,0.00010046542795077,8.78489203708258e-05,7.6558478679126e-05,6.64465907145589e-05,5.73769230584372e-05,4.92232885331242e-05,4.18686362885078e-05,3.52040641195858e-05,2.91278521776767e-05,2.35445168025916e-05,1.83638828146372e-05,1.35001722644085e-05,8.87110734553572e-06,4.39702493124426e-06,0
0.25,0.0450000000000037,0.0262500000000028,0.0243398510304626,0.0225314566510551,0.0208221633641073,0.0192091830878827,0.017689599429638,0.0162603750840956,0.0149183603073128,0.0136603023918766,0.0124828560455141,0.0113825945524399,0.0103560215759571,0.00939958344283647,0.00850968173562353,0.00768268600893317,0.00691494644049237,0.00620280622749477,0.00554261354381925,0.00493073288369111,0.00436355563205905,0.00383750972074989,0.00334906825160725,0.00289475699245922,0.00247116067796345,0.00207492807419974,0.00186241353226656,0.00172278325384014,0.00159180909509829,0.0014689945785373,0.00135385876232084,0.00124593596298262,0.00114477542371288,0.00104994093071955,0.000961010380238705,0.000877575298831751,0.000799240319648172,0.000725622617356631,0.000656351304453891,0.000591066791653781,0.000529420115038649,0.000471072232625908,0.000415693292964291,0.000362961878330533,0.000312564225049143,0.000264193423407862,0.000217548599590877,0.000172334082002655,0.000128258554308815,8.50341974780667e-05,4.23758230721746e-05,0
0.25,0.0600000000000187,0.037500000000014,0.0352181130858967,0.033034136648852,0.0309460045001685,0.0289515443142406,0.0270484792143706,0.0252344299157575,0.023506917429001,0.0218633663197288,0.0203011085117202,0.0188173876123159,0.0174093637301824,0.016074118746849,0.0148086619951105,0.0136099362896306,0.0124748242481411,0.011400154835746,0.01038271006022,0.00941923174302289,0.00850642828916276,0.00764098137913473,0.00681955250795221,0.00603878929976807,0.00529533153165692,0.00458581680666859,0.00419818519598416,0.00393884900313182,0.00369105457923891,0.00345425335012462,0.00322790392203231,0.00301147207262861,0.00280443070591232,0.00260625977167007,0.00241644615025917,0.00223448350363482,0.00205987209366841,0.00189211856892662,0.00173073572119608,0.00157524221314592,0.00142516227862101,0.00128002539715095,0.00113936594434489,0.00100272281991989,0.000869639055180752,0.000739661401832133,0.000612339904060035,0.000487227455868816,0.00036387934570255,0.000241852790415662,0.000120706460687601,0
0.25,0.0750000000000337,0.0487500000000253,0.0461381944372198,0.0436208905801796,0.0411963072930736,0.0388625734472286,0.0366177278074765,0.034459719236036,0.0323864072263374,0.0303955627764772,0.0284848696089274,0.0266519257397454,0.0248942453968915,0.0232092612834128,0.0215943271772684,0.0200467208555323,0.0185636473266999,0.0171422423509469,0.0157795762245298,0.0144726578011823,0.01321843872044,0.0120138178104058,0.0108556456306188,0.0097407291194761,0.00866583631012044,0.00762770107886393,0.00705412719384868,0.00666612019718603,0.00629119074832363,0.00592877237684021,0.00557830054198824,0.00523921271644825,0.00491094845122419,0.0045929494217817,0.00428465945562416,0.00398552454159187,0.00369499282125988,0.00341251456289662,0.00313754211853048,0.00286952986475314,0.00260793412796644,0.00235221309485458,0.00210182670893356,0.00185623655409607,0.00161490572613161,0.00137729869325829,0.00114288114675428,0.000911119842823384,0.00068148243686988,0.000453437311393349,0.000226453398743637,0
0.25,0.0900000000000487,0.05,0.0481416382338901,0.0462862667588163,0.0444368497366357,0.0425962993257354,0.0407674503160639,0.0389530355268508,0.0371556622184093,0.0353777897661015,0.0336217088393589,0.0318895223209751,0.030183128191081,0.0285042045856299,0.0268541972202909,0.0252343093469114,0.0236454943808638,0.0220884513035803,0.0205636229055769,0.0190711968917735,0.0176111098237082,0.0161830538234075,0.0147864859125717,0.0134206398099179,0.0120845399607077,0.0107770175274308,0.0100459616468015,0.00954568718152968,0.00905675154231463,0.00857884169432692,0.00811162147713517,0.00765473307174861,0.00720779844881179,0.00677042078977931,0.00634218587388483,0.00592266342474155,0.00551140841145445,0.00510796230017223,0.0047118542530465,0.00432260227258243,0.00393971429034968,0.00356268919996288,0.00319101783513109,0.0028241838944069,0.00246166481503474,0.00210293259899915,0.00174745459500586,0.00139469424068918,0.00104411176982857,0.000695164889774199,0.00034730943462776,0
0.25,0.105000000000064,0.05,0.0483492286762602,0.0466997515060969,0.0450528543719494,0.0434098066631217,0.0417718531520261,0.0401402060176908,0.038516037065396,0.036900470191052,0.0352945741385265,0.0336993555975359,0.0321157526888615,0.0305446288824944,0.0289867673927757,0.0274428660926349,0.0259135329865742,0.0243992822790602,0.0229005310714306,0.0214175967162802,0.0199506948535597,0.0184999381473147,0.0170653357361597,0.0156467934042797,0.0142441144730674,0.0128570014065567,0.012073353744801,0.0115313059018611,0.0109957576032401,0.010466586469179,0.00994365279241609,0.00942679994554919,0.00891585483231022,0.00841062838133172,0.00791091608088548,0.00741649855298282,0.00692714216514231,0.00644259967805396,0.00596261092730038,0.00548690353723289,0.00501519366504615,0.00454718677304652,0.0040825784270675,0.00362105511894989,0.00316229511097358,0.00270596930010282,0.00225174209988546,0.00179927233782996,0.00134821416607004,0.000898217983116417,0.000448931364486903,0
0.25,0.120000000000079,0.05,0.0484462757482645,0.0468932157631348,0.0453414803325859,0.0437917218077347,0.0422445806854043,0.040700681751834,0.0391606303078328,0.037625008495589,0.0360943717472222,0.0345692453749932,0.0330501213228467,0.0315374550986565,0.0300316629061345,0.0285331189948615,0.0270421532462682,0.0255590490126281,0.02408404122521,0.0226173147866601,0.0211590032614292,0.0197091878766321,0.0182678968441007,0.016835105012591,0.0154107338571097,0.0139946518101608,0.0131902687495894,0.0126306902741498,0.0120746040999028,0.0115219487794679,0.0109726532555472,0.0104266370472552,0.00988381046363099,0.00934407484386774,0.00880732282370836,0.00827343862736862,0.00774229838426069,0.00721377046970423,0.00668771586872668,0.00616398856197159,0.00564243593265231,0.00512289919341061,0.00460521383186463,0.00408921007355919,0.00357471336096478,0.00306154484710831,0.002549521902362,0.00203845863286364,0.00152816640899577,0.00101845440231028,0.000509130129251139,0
0.25,0.135000000000094,0.05,0.0484966662542673,0.0469936854635004,0.0454914084554096,0.0439901818146337,0.0424903457897731,0.0409922322346274,0.0394961625949036,0.0380024459515427,0.0365113771316574,0.035023234897879,0.0335382802266771,0.0320567546859319,0.0305788789217048,0.0291048512637631,0.027634846458966,0.0261690145411032,0.0247074798451957,0.0232503401736168,0.0217976661206614,0.0203495005613927,0.0189058583097176,0.0174667259496917,0.016032061843033,0.0146017963147346,0.0137870536362219,0.0132185875718175,0.0126519770687709,0.0120871894674622,0.0115241869969579,0.0109629268752442,0.0104033614238933,0.00984543819689317,0.00928910012332845,0.00873428566355506,0.00818092897846452,0.00762896011139193,0.00707830518217756,0.00652888659285048,0.00598062324436209,0.00543343076375828,0.00488722174114208,0.00434190597574319,0.00379739073037786,0.00325358099355176,0.00271037974843053,0.002167688247877,0.00162540629473147,0.00108343252649195,0.00054166470353443,0
